id,Title,Authors,id_original,Title_original,Raphael - Classification ,Raphael - Justification ,Guilherme - Classication,Guilherme - Justification,Final Classification
207,On the dangers of stochastic parrots: Can language models be too big?,Bender E.M.; Gebru T.; McMillan-Major A.; Shmitchell S.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
208,"The GEM Benchmark: Natural Language Generation, its Evaluation and Metrics",Gehrmann S.; Adewumi T.; Aggarwal K.; Ammanamanchi P.S.; Anuoluwapo A.; Bosselut A.; Chandu K.R.; Clinciu M.; Das D.; Dhole K.D.; Du W.; Durmus E.; Dušek O.; Emezue C.; Gangal V.; Garbacea C.; Hashimoto T.; Hou Y.; Jernite Y.; Jhamtani H.; Ji Y.; Jolly S.; Kale M.; Kumar D.; Ladhak F.; Madaan A.; Maddela M.; Mahajan K.; Mahamood S.; Majumder B.P.; Martins P.H.; McMillan-Major A.; Mille S.; van Miltenburg E.; Nadeem M.; Narayan S.; Nikolaev V.; Niyongabo R.A.; Osei S.; Parikh A.; Perez-Beltrachini L.; Rao N.R.; Raunak V.; Rodriguez J.D.; Santhanam S.; Sedoc J.; Sellam T.; Shaikh S.; Shimorina A.; Cabezudo M.A.S.; Strobelt H.; Subramani N.; Xu W.; Yang D.; Yerukola A.; Zhou J.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
209,Towards empathetic open-domain conversation models: A new benchmark and dataset,Rashkin H.; Smith E.M.; Li M.; Boureau Y.-L.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
210,Multiscale Temporal Dynamic Learning for Time Series Classification,Liu S.; Zhou X.; Chen H.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
211,DIALOGPT: Large-scale generative pre-training for conversational response generation,Zhang Y.; Sun S.; Galley M.; Chen Y.-C.; Brockett C.; Gao X.; Gao J.; Liu J.; Dolan B.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
212,Build it break it fix it for dialogue safety: Robustness from adversarial human attack,Dinan E.; Humeau S.; Weston J.; Chintagunta B.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
213,Bot-Adversarial Dialogue for Safe Conversational Agents,Xu J.; Ju D.; Li M.; Boureau Y.-L.; Weston J.; Dinan E.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
214,StereoSet: Measuring stereotypical bias in pretrained language models,Nadeem M.; Bethke A.; Reddy S.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
215,Universal adversarial triggers for attacking and analyzing NLP warning: This paper contains model outputs which are offensive in nature,Wallace E.; Feng S.; Kandpal N.; Gardner M.; Singh S.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
216,Understanding Multi-Turn Toxic Behaviors in Open-Domain Chatbots,Chen B.; Wang G.; Guo H.; Wang Y.; Yan Q.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
217,Generative adversarial nets,Goodfellow I.J.; Pouget-Abadie J.; Mirza M.; Xu B.; Warde-Farley D.; Ozair S.; Courville A.; Bengio Y.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
218,Language models are few-shot learners,Brown T.B.; Mann B.; Ryder N.; Subbiah M.; Kaplan J.; Dhariwal P.; Neelakantan A.; Shyam P.; Sastry G.; Askell A.; Agarwal S.; Herbert-Voss A.; Krueger G.; Henighan T.; Child R.; Ramesh A.; Ziegler D.M.; Wu J.; Winter C.; Hesse C.; Chen M.; Sigler E.; Litwin M.; Gray S.; Chess B.; Clark J.; Berner C.; McCandlish S.; Radford A.; Sutskever I.; Amodei D.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
219,Recipes for building an open-domain chatbot,Roller S.; Dinan E.; Goyal N.; Ju D.; Williamson M.; Liu Y.; Xu J.; Ott M.; Shuster K.; Smith E.M.; Boureau Y.-L.; Weston J.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
220,Some Considerations for the Preservation of Endangered Languages Using Low-Resource Machine Translation,Kho A.; Pham D.-S.; Soon S.; Chan K.Y.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,,,,,
221,Extracting training data from large language models,Carlini N.; Tramèr F.; Wallace E.; Jagielski M.; Herbert-Voss A.; Lee K.; Roberts A.; Brown T.; Song D.; Erlingsson Ú.; Oprea A.; Raffel C.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,,,,,
222,Large-Scale Hierarchical Causal Discovery via Weak Prior Knowledge,Wang X.; Ban T.; Chen L.; Lyu D.; Zhu Q.; Chen H.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,,,,,
223,BERT: Pre-training of deep bidirectional transformers for language understanding,Devlin J.; Chang M.-W.; Lee K.; Toutanova K.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,,,,,
224,Advancing XSS Detection in IoT over 5G: A Cutting-Edge Artificial Neural Network Approach,Alqura’n R.; AlJamal M.; Al-Aiash I.; Alsarhan A.; Khassawneh B.; Aljaidi M.; Alanazi R.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,,,,,
225,A Novel Machine Learning Cyber Approach for Detecting WannaLocker Ransomware Attack on Android Devices,Aljamal M.; Alquran R.; Al-Aiash I.; Mughaid A.; Alzu'Bi S.; Abutabanjeh A.A.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,,,,,
226,Simulated Model for Preventing IoT Fake Clients over the Smart Cities Environment,Aljamal M.; Mughaid A.; Alquran R.; Almiani M.; Alzu'bi S.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,,,,,
227,Utilizing Machine Learning Algorithms for Effectively Detection IoT DDoS Attacks,Mughaid A.; Alqahtani A.; AlZu’bi S.; Obaidat I.; Alqura’n R.; AlJamal M.; AL-Marayah R.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,,,,,
228,"Foundation and large language models: fundamentals, challenges, opportunities, and social impacts",Myers D.; Mohawesh R.; Chellaboina V.I.; Sathvik A.L.; Venkatesh P.; Ho Y.-H.; Henshaw H.; Alhawawreh M.; Berdik D.; Jararweh Y.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,,,,,
229,Sentiment analysis of movie reviews based on NB approaches using TF–IDF and count vectorizer,Danyal M.M.; Khan S.S.; Khan M.; Ullah S.; Ghaffar M.B.; Khan W.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,,,,,
230,Detection and Characterization of Darknet Traffic Using Attention LSTM with XAI,Kirubavathi G.; Amithesh Y.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,,,,,
231,"Machine Learning Applied in Emotion Classification: A Survey on Dataset, Techniques, and Trends for Text Based Documents",Chavan D.; Anvekar E.; Dandapat M.; Bichave V.; Jagdale J.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,exclude,EC1,,,
232,Social engineering with ChatGPT,Grbic D.V.; Dujlovic I.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,exclude,EC1,,,
233,An Attacker's Dream? Exploring the Capabilities of ChatGPT for Developing Malware,Pa Pa Y.M.; Tanizaki S.; Kou T.; Van Eeten M.; Yoshioka K.; Matsumoto T.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,exclude,EC1,,,
234,End-to-End Transformer-Based Models in Textual-Based NLP,Rahali A.; Akhloufi M.A.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,exclude,EC1,,,
235,Machine Learning-Based Intrusion Detection on Multi-Class Imbalanced Dataset Using SMOTE,Widodo A.O.; Setiawan B.; Indraswari R.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,exclude,EC1,,,
236,An Overview of GPT-4's Characteristics through the Lens of 10V's of Big Data,Alyasiri O.M.; Akhtom D.; Alrasheedy M.N.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,exclude,EC1,,,
237,A recent review of ransomware attacks on healthcare industries,Kirubavathi G.; Regis Anne W.; Sridevi U.K.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,exclude,EC1,,,
238,“Do Anything Now”: Characterizing and Evaluating In-The-Wild Jailbreak Prompts on Large Language Models,Shen X.; Chen Z.; Backes M.; Shen Y.; Zhang Y.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,,,,,
239,Conversational AI for Natural Language Processing: An Review of ChatGPT,Goar V.; Yadav N.S.; Yadav P.S.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,,,,,
240,An Integrated Fusion Framework for Ensemble Learning Leveraging Gradient-Boosting and Fuzzy Rule-Based Models,Li J.; Liu P.; Chen L.; Pedrycz W.; Ding W.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,Ainda em Dúvida,,,,
241,A Robust Machine Learning Model for Detecting XSS Attacks on IoT over 5G Networks,AlJamal M.; Alquran R.; Alsarhan A.; Aljaidi M.; Alhmmad M.; Al-Jamal W.Q.; Albalawi N.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,exclude,EC1,,,
242,CodeGeeX: A Pre-Trained Model for Code Generation with Multilingual Benchmarking on HumanEval-X,Zheng Q.; Xia X.; Zou X.; Dong Y.; Wang S.; Xue Y.; Shen L.; Wang Z.; Wang A.; Li Y.; Su T.; Yang Z.; Tang J.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,exclude,EC1,,,
243,Optimizing risk mitigation: A simulation-based model for detecting fake IoT clients in smart city environments,AlJamal M.; Mughaid A.; Al shboul B.; Bani-Salameh H.; Alzubi S.; Abualigah L.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,exclude,EC1,,,
244,A Deep Learning Approach to PDF Malware Detection Enhanced with XAI,Ganapathiyappan K.; Noorudheen F.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,exclude,EC1,,,
245,Contemporary Approaches in Evolving Language Models,Oralbekova D.; Mamyrbayev O.; Othman M.; Kassymova D.; Mukhsina K.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,exclude,EC1,,,
246,A New Predictive Method for Classification Tasks in Machine Learning: Multi-Class Multi-Label Logistic Model Tree (MMLMT),Ghasemkhani B.; Balbal K.F.; Birant D.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,exclude,EC1,,,
247,An Ensemble-Based Multi-Classification Machine Learning Classifiers Approach to Detect Multiple Classes of Cyberbullying,Alqahtani A.F.; Ilyas M.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,exclude,EC1,,,
248,Towards Artificial Intelligence-Based Cybersecurity: The Practices and ChatGPT Generated Ways to Combat Cybercrime,Mijwil M.M.; Aljanabi M.; ChatGPT,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,,,,,
249,Role of Artificial Intelligence based Chat Generative Pre-trained Transformer (ChatGPT) in Cyber Security,Prasad S.G.; Sharmila V.C.; Badrinarayanan M.K.,10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,,,,,
250,TALLRec: An Effective and Efficient Tuning Framework to Align Large Language Model with Recommendation,Bao K.; Zhang J.; Zhang Y.; Wang W.; Feng F.; He X.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
251,Model inversion attacks that exploit confidence information and basic countermeasures,Fredrikson M.; Jha S.; Ristenpart T.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
252,Sequential recommendation by reprogramming pretrained transformer,Tang M.; Cui S.; Jin Z.; Liang S.-N.; Li C.; Zou L.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
253,CheatAgent: Attacking LLM-Empowered Recommender Systems via LLM Agent,Ning L.-B.; Wang S.; Fan W.; Li Q.; Xu X.; Chen H.; Huang F.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,include,,,,
254,Large Language Models are Competitive Near Cold-start Recommenders for Language- and Item-based Preferences,Sanner S.; Balog K.; Radlinski F.; Wedin B.; Dixon L.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
255,PoisonRec: An adaptive data poisoning framework for attacking black-box recommender systems,Song J.; Li Z.; Hu Z.; Wu Y.; Li Z.; Li J.; Gao J.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
256,Collaborative Large Language Model for Recommender Systems,Zhu Y.; Wu L.; Guo Q.; Hong L.; Li J.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
257,The movielens datasets: History and context,Harper F.M.; Konstan J.A.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
258,CoLLM: Integrating Collaborative Embeddings Into Large Language Models for Recommendation,Zhang Y.; Feng F.; Zhang J.; Bao K.; Wang Q.; He X.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
259,Collaborative filtering recommender systems,Ekstrand M.D.; Riedl J.T.; Konstan J.A.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
260,"A Review of Movie Recommendation System: Limitations, Survey and Challenges",Goyani M.; Chaurasiya N.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
261,Extracting training data from large language models,Carlini N.; Tramèr F.; Wallace E.; Jagielski M.; Herbert-Voss A.; Lee K.; Roberts A.; Brown T.; Song D.; Erlingsson Ú.; Oprea A.; Raffel C.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,,,,,
262,Membership Inference Attacks Against Machine Learning Models,Shokri R.; Stronati M.; Song C.; Shmatikov V.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,,,,,
263,Matrix factorization techniques for recommender systems,Koren Y.; Bell R.; Volinsky C.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
264,Recommender Systems in the Era of Large Language Models (LLMs),Zhao Z.; Fan W.; Li J.; Liu Y.; Mei X.; Wang Y.; Wen Z.; Wang F.; Zhao X.; Tang J.; Li Q.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
265,"Recommendation as Language Processing (RLP): A Unified Pretrain, Personalized Prompt & Predict Paradigm (P5)",Geng S.; Liu S.; Fu Z.; Ge Y.; Zhang Y.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
266,Exploring the limits of transfer learning with a unified text-to-text transformer,Raffel C.; Shazeer N.; Roberts A.; Lee K.; Narang S.; Matena M.; Zhou Y.; Li W.; Liu P.J.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
267,Item-based collaborative filtering recommendation algorithms,Sarwar B.; Karypis G.; Konstan J.; Riedl J.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
268,Adversarial atacks on an oblivious recommender,Christakopoulou K.; Banerjee A.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
269,Content-based recommendation systems,Pazzani M.J.; Billsus D.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
270,Large Language Models meet Collaborative Filtering: An Efficient All-round LLM-based Recommender System,Kim S.; Kang H.; Choi S.; Kim D.; Yang M.; Park C.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
271,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,Wei J.; Wang X.; Schuurmans D.; Bosma M.; Ichter B.; Xia F.; Chi E.H.; Le Q.V.; Zhou D.,19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,exclude,EC1,,,
272,Open graph benchmark: Datasets for machine learning on graphs,Hu W.; Fey M.; Zitnik M.; Dong Y.; Ren H.; Liu B.; Catasta M.; Leskovec J.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",exclude,EC1,,,
273,GAugLLM: Improving Graph Contrastive Learning for Text-Attributed Graphs with Large Language Models,Fang Y.; Fan D.; Zha D.; Tan Q.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",exclude,EC1,,,
274,GraphGPT: Graph Instruction Tuning for Large Language Models,Tang J.; Yang Y.; Wei W.; Shi L.; Su L.; Cheng S.; Yin D.; Huang C.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",exclude,EC1,,,
275,Contextualized Graph Attention Network for Recommendation with Item Knowledge Graph,Liu Y.; Yang S.; Xu Y.; Miao C.; Wu M.; Zhang J.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",exclude,EC1,,,
276,Large Language Models on Graphs: A Comprehensive Survey,Jin B.; Liu G.; Han C.; Jiang M.; Ji H.; Han J.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",exclude,EC1,,,
277,KGAT: Knowledge graph attention network for recommendation,Wang X.; He X.; Cao Y.; Liu M.; Chua T.-S.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",exclude,EC1,,,
278,Adversarial attacks on neural networks for graph data,Zügner D.; Akbarnejad A.; Günnemann S.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",exclude,EC1,,,
279,Utilizing knowledge graphs for text-centric information retrieval,Dietz L.; Kotov A.; Meij E.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",exclude,EC1,,,
280,A Comprehensive Survey on Graph Neural Networks,Wu Z.; Pan S.; Chen F.; Long G.; Zhang C.; Yu P.S.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",exclude,EC1,,,
281,Scalable attack on graph data by injecting vicious nodes,Wang J.; Luo M.; Suya F.; Li J.; Yang Z.; Zheng Q.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",,,,,
282,Automating the construction of internet portals with machine learning,McCallum A.K.; Nigam K.; Rennie J.; Seymore K.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",,,,,
283,Can we Soft Prompt LLMs for Graph Learning Tasks?,Liu Z.; He X.; Tian Y.; Chawla N.V.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",,,,,
284,TextHoaxer: Budgeted Hard-Label Adversarial Attacks on Text,Ye M.; Miao C.; Wang T.; Ma F.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",,,,,
285,Inductive representation learning on large graphs,Hamilton W.L.; Ying R.; Leskovec J.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",,,,,
286,Robustness of Graph Neural Networks at Scale,Geisler S.; Schmidt T.; Şirin H.; Zügner D.; Bojchevski A.; Günnemann S.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",,,,,
287,OpenGSL: A Comprehensive Benchmark for Graph Structure Learning,Zhou Z.; Zhou S.; Mao B.; Zhou X.; Chen J.; Tan Q.; Zha D.; Feng Y.; Chen C.; Wang C.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",,,,,
288,A Survey of Large Language Models for Graphs,Ren X.; Tang J.; Yin D.; Chawla N.; Huang C.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",,,,,
289,Adversarial Attacks on Graph Neural Networks via Node Injections: A Hierarchical Reinforcement Learning Approach,Sun Y.; Wang S.; Tang X.; Hsieh T.-Y.; Honavar V.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",,,,,
290,UniGLM: Training One Unified Language Model for Text-Attributed Graphs Embedding,Fang Y.; Fan D.; Ding S.; Liu N.; Tan Q.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",,,,,
291,Adversarial Attack on Graph Structured Data,Dai H.; Li H.; Tian T.; Huang X.; Wang L.; Zhu J.; Song L.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",,,,,
292,Collective classification in network data,Sen P.; Namata G.M.; Bilgic M.; Getoor L.; Gallagher B.; Eliassi-Rad T.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",,,,,
293,GraphICL: Unlocking Graph Learning Potential in LLMs through Structured Prompt Design,Sun Y.; Ma Z.; Fang Y.; Ma J.; Tan Q.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",,,,,
294,GraphTranslator: Aligning Graph Model to Large Language Model for Open-ended Tasks,Zhang M.; Sun M.; Wang P.; Fan S.; Mo Y.; Xu X.; Liu H.; Yang C.; Shi C.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",,,,,
295,Gradient-based Adversarial Attacks against Text Transformers,Guo C.; Sablayrolles A.; Jégou H.; Kiela D.,20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",,,,,
296,MINILLM: KNOWLEDGE DISTILLATION OF LARGE LANGUAGE MODELS,Gu Y.; Dong L.; Wei F.; Huang M.,22,Approaches to Lightweight Text-to-SQL Implementation Based on sLLM,,,,,
297,Constructing an interactive natural language interface for relational databases,Li F.; Jagadish H.V.,22,Approaches to Lightweight Text-to-SQL Implementation Based on sLLM,,,,,
298,Can LLM Already Serve as A Database Interface? A BIg Bench for Large-Scale Database Grounded Text-to-SQLs,Li J.; Hui B.; Qu G.; Yang J.; Li B.; Li B.; Wang B.; Qin B.; Geng R.; Huo N.; Zhou X.; Ma C.; Li G.; Chang K.C.C.; Huang F.; Cheng R.; Li Y.,22,Approaches to Lightweight Text-to-SQL Implementation Based on sLLM,,,,,
299,Demonstrating GPT-DB: Generating Query-Specific and Customizable Code for SQL Processing with GPT-4,Trummer I.,22,Approaches to Lightweight Text-to-SQL Implementation Based on sLLM,,,,,
300,Learning to parse database queries using inductive logic programming,Zelle John M.; Mooney Raymond J.,22,Approaches to Lightweight Text-to-SQL Implementation Based on sLLM,,,,,
301,RESDSQL: Decoupling Schema Linking and Skeleton Parsing for Text-to-SQL,Li H.; Zhang J.; Li C.; Chen H.,22,Approaches to Lightweight Text-to-SQL Implementation Based on sLLM,,,,,
302,Retrieval-augmented generation for knowledge-intensive NLP tasks,Lewis P.; Perez E.; Piktus A.; Petroni F.; Karpukhin V.; Goyal N.; Küttler H.; Lewis M.; Yih W.-T.; Rocktäschel T.; Riedel S.; Kiela D.,22,Approaches to Lightweight Text-to-SQL Implementation Based on sLLM,,,,,
303,QLORA: Efficient Finetuning of Quantized LLMs,Dettmers T.; Pagnoni A.; Holtzman A.; Zettlemoyer L.,22,Approaches to Lightweight Text-to-SQL Implementation Based on sLLM,,,,,
304,DIN-SQL: Decomposed In-Context Learning of Text-to-SQL with Self-Correction,Pourreza M.; Rafiei D.,22,Approaches to Lightweight Text-to-SQL Implementation Based on sLLM,,,,,
305,Modern natural language interfaces to databases: Composing statistical parsing with semantic tractability,Popescu A.-M.; Armanasu A.; Etzioni O.; Ko D.; Yates A.,22,Approaches to Lightweight Text-to-SQL Implementation Based on sLLM,,,,,
306,Born-Again Neural Networks,Furlanello T.; Lipton Z.C.; Tschannen M.; Itti L.; Anandkumar A.,22,Approaches to Lightweight Text-to-SQL Implementation Based on sLLM,,,,,
307,DBVinci - Towards the usage of GPT engine for processing SQL Queries,Câmara V.; Mendonca-Neto R.; Silva A.; Cordovil-Jr L.,22,Approaches to Lightweight Text-to-SQL Implementation Based on sLLM,,,,,
308,Text-to-SQL Generation for Question Answering on Electronic Medical Records,Wang P.; Shi T.; Reddy C.K.,22,Approaches to Lightweight Text-to-SQL Implementation Based on sLLM,,,,,
309,Privacy-Preserving Machine Learning: Threats and Solutions,Al-Rubaie M.; Chang J.M.,24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,
310,Do adversarially robust ImageNet models transfer better?,Salman H.; Ilyas A.; Engstrom L.; Kapoor A.; Madry A.,24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,
311,Composite Backdoor Attacks Against Large Language Models,Huang H.; Zhao Z.; Backes M.; Shen Y.; Zhang Y.,24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,
312,Federated learning and differential privacy for medical image analysis,Adnan M.; Kalra S.; Cresswell J.C.; Taylor G.W.; Tizhoosh H.R.,24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,
313,Addressing The False Negative Problem of Deep Learning MRI Reconstruction Models by Adversarial Attacks and Robust Training,Cheng K.; Calivá F.; Shah R.; Han M.; Majumdar S.; Pedoia V.,24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,
314,Adversarial attack defense analysis: An empirical approach in cybersecurity perspective,Barik K.; Misra S.,24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,
315,A survey of deep learning techniques for autonomous driving,Grigorescu S.; Trasnea B.; Cocias T.; Macesanu G.,24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,
316,Feature denoising for improving adversarial robustness,Xie C.; Wu Y.; Maaten L.V.D.; Yuille A.L.; He K.,24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,
317,Systematic evaluation of privacy risks of machine learning models,Song L.; Mittal P.,24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,
318,ARTIFICIAL INTELLIGENCE FOR NEXT GENERATION ENERGY SERVICES ACROSS EUROPE - THE I-NERGY PROJECT,Karakolis E.; Pelekis S.; Mouzakitis S.; Markaki O.; Papapostolou K.; Korbakis G.; Psarras J.,24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,
319,Adversarial attacks on medical machine learning,Finlayson S.G.; Bowers J.D.; Ito J.; Zittrain J.L.; Beam A.L.; Kohane I.S.,24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,
320,EXPRESSIVE LOSSES FOR VERIFIED ROBUSTNESS VIA CONVEX COMBINATIONS,De Palma A.; Bunel R.; Dvijotham K.; Kumar M.P.; Stanforth R.; Lomuscio A.,24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,
321,Deepbillboard: Systematic physical-world testing of autonomous driving systems,Zhou H.; Li W.; Kong Z.; Guo J.; Zhang Y.; Yu B.; Zhang L.; Liu C.,24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,
